condition,barrier_id,mean_pct,sd_rate,n_units,ci95_pct
zeroshot,1,19.45,0.01523224268442099,200,0.21110811305873192
zeroshot,2,8.583333333333334,0.08249579113843054,200,1.1433333333333333
zeroshot,3,11.366666666666667,0.07353178568769422,200,1.0190985561334802
zeroshot,4,18.333333333333336,0.028551480633109475,200,0.39570333314432654
zeroshot,5,12.3,0.053298774397889694,200,0.738683326191323
zeroshot,6,5.016666666666667,0.043570091524904486,200,0.6038506606138984
zeroshot,7,2.8666666666666667,0.03153259991851989,200,0.43701953852422465
zeroshot,8,5.016666666666667,0.05398652560553427,200,0.7482150716281395
zeroshot,9,5.083333333333333,0.054597404748288766,200,0.7566814246009512
zeroshot,10,6.166666666666667,0.06870826990975819,200,0.9522480381049984
zeroshot,11,5.816666666666666,0.07900819455835062,200,1.0949977107737097
context,1,19.46666666666667,0.01547318063024871,200,0.2144473426233947
context,2,9.516666666666666,0.07482699196792675,200,1.0370491993517217
context,3,6.7333333333333325,0.06666331649873738,200,0.9239064297917883
context,4,19.46666666666667,0.014733819163261051,200,0.20420031548511658
context,5,8.866666666666667,0.0837053671997548,200,1.1600972022656697
context,6,6.7,0.04865471044706652,200,0.6743198835982583
context,7,6.15,0.07291471043080582,200,1.010546329399975
context,8,6.966666666666667,0.06217624128602375,200,0.8617187401039522
context,9,2.933333333333333,0.03091025535477105,200,0.4283942829235015
context,10,6.483333333333334,0.08125189513745666,200,1.126093814304696
context,11,6.716666666666667,0.07747246048039688,200,1.0737135223535508
