family,condition,1,2,3,4,5,6,7,8,9,10,11
phi4,zeroshot,20.0,2.6,12.133333333333333,19.866666666666667,10.2,3.733333333333334,0.9333333333333335,7.8,5.266666666666667,16.8,0.6666666666666666
phi4,context,20.0,6.266666666666667,4.4,19.933333333333334,2.4,11.733333333333333,0.2,11.533333333333333,1.3333333333333333,19.533333333333335,2.6666666666666665
llama,zeroshot,17.8,12.4,16.133333333333333,19.333333333333336,14.6,9.266666666666667,4.466666666666667,1.2,1.2666666666666666,0.8666666666666666,2.6666666666666665
llama,context,17.866666666666667,13.333333333333334,16.266666666666666,18.133333333333333,13.4,7.333333333333333,6.133333333333333,2.3333333333333335,2.6,1.2,1.4
mistral,zeroshot,20.0,19.333333333333336,17.2,19.6,17.733333333333334,0.4,0.5333333333333333,0.06666666666666667,1.4,2.7333333333333334,1.0
mistral,context,20.0,18.46666666666667,6.266666666666667,19.8,19.666666666666668,5.2,0.9333333333333335,0.6,1.2,4.4,3.4666666666666663
gemma3,zeroshot,20.0,0.0,0.0,14.533333333333335,6.666666666666667,6.666666666666667,5.533333333333333,11.0,12.4,4.266666666666667,18.933333333333334
gemma3,context,20.0,0.0,0.0,20.0,0.0,2.533333333333333,17.333333333333332,13.4,6.6000000000000005,0.8,19.333333333333336
