base_family,condition,barrier_id,mean_pct,sd_rate,n_iter,ci95_pct
phi4,zeroshot,1,20,0,50,0
phi4,zeroshot,2,2.6,0.02360867667855341,50,0.6543991306704359
phi4,zeroshot,3,12.133333333333333,0.03548178287656601,50,0.9835048437998551
phi4,zeroshot,4,19.866666666666667,0.006598288790738584,50,0.18289523412781072
phi4,zeroshot,5,10.200000000000001,0.03589478199055762,50,0.9949525951856533
phi4,zeroshot,6,3.733333333333334,0.025767141444702255,50,0.7142287215358023
phi4,zeroshot,7,0.9333333333333332,0.017868250513613064,50,0.49528263535973965
phi4,zeroshot,8,7.8,0.04497920910488178,50,1.2467600678024087
phi4,zeroshot,9,5.266666666666667,0.036940842577560896,50,1.0239479153420517
phi4,zeroshot,10,16.8,0.030831264869025994,50,0.8545990612887165
phi4,zeroshot,11,0.6666666666666666,0.013468700594029477,50,0.37333333333333335
phi4,context,1,20,0,50,0
phi4,context,2,6.266666666666667,0.032043054935734706,50,0.8881881682516504
phi4,context,3,4.3999999999999995,0.031901208046560436,50,0.8842563730804169
phi4,context,4,19.933333333333334,0.00471404520791032,50,0.13066666666666674
phi4,context,5,2.4,0.02431837206629277,50,0.6740708831833307
phi4,context,6,11.733333333333333,0.037640138753084765,50,1.0433314163986647
phi4,context,7,0.2,0.007996597916069841,50,0.22165438562470777
phi4,context,8,11.533333333333333,0.041079536811789906,50,1.1386666666666667
phi4,context,9,1.3333333333333333,0.017817416127494958,50,0.49387357806539023
phi4,context,10,19.53333333333333,0.013485525960482192,50,0.37379970869734813
phi4,context,11,2.666666666666667,0.03011693009684171,50,0.8347987115999215
llama,zeroshot,1,17.8,0.02391405624664709,50,0.6628638204370824
llama,zeroshot,2,12.4,0.049505491117588674,50,1.37222220422852
llama,zeroshot,3,16.133333333333333,0.029631141306864853,50,0.8213333333333334
llama,zeroshot,4,19.333333333333332,0.02020305089104422,50,0.5600000000000002
llama,zeroshot,5,14.6,0.038621366849507836,50,1.0705296716008283
llama,zeroshot,6,9.266666666666666,0.04327311357270983,50,1.199469512372495
llama,zeroshot,7,4.466666666666667,0.031305676026464,50,0.8677490676713197
llama,zeroshot,8,1.2,0.018759729146278294,50,0.5199931623482071
llama,zeroshot,9,1.2666666666666666,0.025986216475509052,50,0.7203011715787901
llama,zeroshot,10,0.8666666666666666,0.01757394484499613,50,0.4871248984261292
llama,zeroshot,11,2.6666666666666665,0.031586902765289526,50,0.8755442751670403
llama,context,1,17.866666666666667,0.024980718187817153,50,0.6924301809970127
llama,context,2,13.333333333333334,0.03688555567816587,50,1.02241544067631
llama,context,3,16.266666666666666,0.03204305493573471,50,0.8881881682516506
llama,context,4,18.133333333333333,0.0234834819160723,50,0.6509289089020741
llama,context,5,13.4,0.037790447388621896,50,1.0474977592126655
llama,context,6,7.333333333333333,0.040963453652583935,50,1.1354490056556676
llama,context,7,6.133333333333333,0.0364899886869867,50,1.0114508830827569
llama,context,8,2.3333333333333335,0.025421614885788837,50,0.7046512139586033
llama,context,9,2.6,0.02633294583371141,50,0.7299120190513069
llama,context,10,1.2,0.021038782889880498,50,0.5831653091343635
llama,context,11,1.4000000000000001,0.021391502328777335,50,0.592942193172694
mistral,zeroshot,1,20,0,50,0
mistral,zeroshot,2,19.333333333333332,0.013468700594029485,50,0.3733333333333336
mistral,zeroshot,3,17.200000000000003,0.028058894976488072,50,0.7777528884906539
mistral,zeroshot,4,19.6,0.01094202408864387,50,0.303297433773076
mistral,zeroshot,5,17.733333333333334,0.028918526572740914,50,0.8015806606671321
mistral,zeroshot,6,0.4,0.010942024088643863,50,0.3032974337730758
mistral,zeroshot,7,0.5333333333333333,0.014061736247841334,50,0.38977144299932726
mistral,zeroshot,8,0.06666666666666667,0.004714045207910317,50,0.13066666666666665
mistral,zeroshot,9,1.4000000000000001,0.021391502328777335,50,0.592942193172694
mistral,zeroshot,10,2.7333333333333334,0.027512108239341505,50,0.7625967333904453
mistral,zeroshot,11,1,0.01543033499620919,50,0.42770706486254506
