prior_name,effect_prior_sd,adapt_delta,max_rhat,min_bulk_ess,min_tail_ess,divergences,max_treedepth_hits
regularizing,0.75,0.99,1.002316590454527,3683.7033415302044,4931.272106906701,0,0
primary,1.5,0.995,1.001558044640739,3486.655702378117,5056.090465274652,0,0
weak,2.5,0.99,1.0015472893956974,3092.3644282393325,4314.708075938957,0,0
