prior_name,effect_prior_sd,category_checks_passed,category_checks_total,median_absolute_difference,maximum_absolute_difference
regularizing,0.75,80,80,0,0.10000000000000009
primary,1.5,80,80,0,0.10000000000000009
weak,2.5,80,80,0,0.10000000000000009
