prior_name,category_checks,checks_within_predictive_95,proportion_within_predictive_95,median_absolute_difference,maximum_absolute_difference
primary,264,257,0.9734848484848485,0.006666666666666667,0.053333333333333344
regularizing,264,238,0.9015151515151515,0.006666666666666668,0.08666666666666667
weak,264,262,0.9924242424242424,0.006666666666666599,0.040000000000000036
