prior_name,effect_prior_sd,max_rhat,min_bulk_ess,min_tail_ess,divergences,max_treedepth_hits
regularizing,0.75,1.002687996433911,2746.699513164422,4237.295697640721,0,0
primary,1.5,1.0022821542843667,2709.0536590612564,4155.312663515248,0,0
weak,2.5,1.0028697789741798,3174.1222349896902,4038.2453726574768,0,0
