base_model,comparison,log_odds_median,log_odds_l95,log_odds_u95,OR_median,OR_l95,OR_u95,posterior_probability_OR_gt_1
gemma3,CONTEXT vs ZEROSHOT,0.00822320436612789,-0.8547219539143012,0.8700671080524824,1.0082571136988756,0.42540145604668506,2.387071040106228,0.50825
llama,CONTEXT vs ZEROSHOT,3.70188862696018,2.9610874538994216,4.4700625001035625,40.52376641832436,19.318968943320694,87.36218423103503,1
mistral,CONTEXT vs ZEROSHOT,0.015829440060351502,-0.8390089010372714,0.8628257568784014,1.0159553937103973,0.43213860338105103,2.3698478576763944,0.51525
phi4,CONTEXT vs ZEROSHOT,-1.7459429241206301,-2.5260710385651706,-0.9733927854068136,0.17448039318161745,0.07997261342020377,0.3777990750959345,0
