base_model,median_zeroshot,median_context,median_delta,n_pairs,prop_improved,prop_not improved,prop_same,prop_not_improved
gemma3,4.0,4.0,0.0,3300,0.3145454545454546,0.15818181818181817,0.5272727272727272,0.0
llama,3.0,3.0,0.0,3300,0.39151515151515154,0.1087878787878788,0.4996969696969697,0.0
mistral,3.0,4.0,0.0,3300,0.3893939393939394,0.1387878787878788,0.4718181818181818,0.0
phi4,4.0,4.0,0.0,3300,0.17303030303030303,0.021515151515151515,0.8054545454545454,0.0
