base_model,OR,OR_l95,OR_u95
gemma3,2.5735085451041355,2.2879603135821482,2.89469454186239
llama,3.8975760319152988,3.1948408820147955,4.75488435435961
mistral,3.0095072239652696,2.474787000472313,3.6597629328789067
phi4,4.675421740413808,3.681851391447966,5.937113187541591
