base_model,1,2,3,4,5,6,7,8,9,10,11,total_count
gemma3,0.2,0.2,0.184166667,0.199166667,0,0.01,0.005833333,0.2,0.000833333,0,0,1200
llama,0.169463087,0.187080537,0.19295302,0.177013423,0.198825503,0.032718121,0.005033557,0.01090604,0.007550336,0.007550336,0.01090604,1192
mistral,0.2,0.199166667,0.199166667,0.16,0.199166667,0.009166667,0.006666667,0.018333333,0,0.008333333,0,1200
phi4,0.2,0.2,0.150833333,0.191666667,0.010833333,0.18,0.000833333,0.065833333,0,0,0,1200
