base_model,1,2,3,4,5,6,7,8,9,10,11,total_count
gemma3,240.0,240.0,221.0,239.0,0.0,12.0,7.0,240.0,1.0,0.0,0.0,1200
llama,202.0,223.0,230.0,211.0,237.0,39.0,6.0,13.0,9.0,9.0,13.0,1192
mistral,240.0,239.0,239.0,192.0,239.0,11.0,8.0,22.0,0.0,10.0,0.0,1200
phi4,240.0,240.0,181.0,230.0,13.0,216.0,1.0,79.0,0.0,0.0,0.0,1200
