base_model,total_count,n_selected_unique,selected_set,top5_selected,jaccard_top5_vs_first5,canon_first5
gemma3,1200,8,"[1, 2, 3, 4, 6, 7, 8, 9]","[1, 2, 8, 4, 3]",0.6666666666666666,"[1, 2, 3, 4, 5]"
llama,1192,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[5, 3, 2, 4, 1]",1.0,"[1, 2, 3, 4, 5]"
mistral,1200,9,"[1, 2, 3, 4, 5, 6, 7, 8, 10]","[1, 2, 3, 5, 4]",1.0,"[1, 2, 3, 4, 5]"
phi4,1200,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 4, 6, 3]",0.6666666666666666,"[1, 2, 3, 4, 5]"
