base_model,total_count,n_selected_unique,selected_set,top5_selected,jaccard_top5_vs_first5,canon_first5
gemma3,1200,10,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[11, 10, 9, 6, 4]",0.1111111111111111,"[1, 2, 3, 4, 5]"
llama,1191,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[7, 11, 10, 6, 2]",0.1111111111111111,"[1, 2, 3, 4, 5]"
mistral,1200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[7, 11, 4, 10, 5]",0.25,"[1, 2, 3, 4, 5]"
phi4,1200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[10, 11, 6, 4, 9]",0.1111111111111111,"[1, 2, 3, 4, 5]"
