base_model,1,2,3,4,5,6,7,8,9,10,11,total_count
gemma3,0.07083333333333333,0.0,0.049166666666666664,0.07583333333333334,0.0575,0.09833333333333333,0.07166666666666667,0.050833333333333335,0.15833333333333333,0.1725,0.195,1200
llama,0.08984047019311503,0.0948782535684299,0.08900083963056256,0.09319899244332494,0.06968933669185558,0.09991603694374475,0.12678421494542402,0.04617968094038623,0.07472712006717044,0.10243492863140219,0.11335012594458438,1191
mistral,0.0725,0.060833333333333336,0.06666666666666667,0.12666666666666668,0.085,0.0825,0.14916666666666667,0.035833333333333335,0.0675,0.12,0.13333333333333333,1200
phi4,0.07166666666666667,0.005833333333333334,0.034166666666666665,0.11083333333333334,0.016666666666666666,0.14416666666666667,0.07333333333333333,0.1,0.11,0.18666666666666668,0.14666666666666667,1200
