base_model,1,2,3,4,5,6,7,8,9,10,11,total_count
gemma3,85.0,0.0,59.0,91.0,69.0,118.0,86.0,61.0,190.0,207.0,234.0,1200
llama,107.0,113.0,106.0,111.0,83.0,119.0,151.0,55.0,89.0,122.0,135.0,1191
mistral,87.0,73.0,80.0,152.0,102.0,99.0,179.0,43.0,81.0,144.0,160.0,1200
phi4,86.0,7.0,41.0,133.0,20.0,173.0,88.0,120.0,132.0,224.0,176.0,1200
