contrast,base_model,estimate,SE,df,z.ratio,p.value
BIASED - NEU,gemma3-12b,-2.1820817348785697e-7,0.3777015963293816,Inf,-5.777263734346638e-7,0.9999995390410462
BIASED - NEU,llama-pro,1.1714179384389272,0.2199463027314924,Inf,5.325926937126009,1.0043950089116189e-7
BIASED - NEU,mistral,0.07721598744141603,0.37765162885786474,Inf,0.2044635360767304,0.8379912840585397
BIASED - NEU,phi4,-1.4887776842741653e-7,0.37775410246059354,Inf,-3.9411290958235754e-7,0.9999996855433942
