base_model,condition,n,n_ge3,pct_ge3
gemma3,CONTEXT,3300,3300,100
gemma3,ZEROSHOT,3300,3214,97.39
llama,CONTEXT,3300,3300,100
llama,ZEROSHOT,3300,3234,98
mistral,ZEROSHOT,3300,3300,100
mistral,CONTEXT,3300,3300,100
phi4,ZEROSHOT,3300,3300,100
phi4,CONTEXT,3300,3300,100
