base_model,OR,OR_l95,OR_u95
gemma3,2.5735372902936096,2.2874583857952735,2.895394393034671
llama,3.8976681963156454,3.193818570707954,4.756631296436785
mistral,3.009537638767327,2.473916968540943,3.6611240046989155
phi4,4.6754038943931375,3.6799437740898746,5.940145534183547
