base_model,category_checks,checks_within_predictive_95,proportion_within_predictive_95,median_absolute_difference,maximum_absolute_difference
gemma3,66,59,0.8939393939393939,0.006666666666666696,0.053333333333333344
llama,66,66,1,0.0050000000000000044,0.020000000000000018
mistral,66,66,1,0.006666666666666675,0.033333333333333326
phi4,66,66,1,0.0066666666666666645,0.013333333333333364
all,264,257,0.9734848484848485,0.006666666666666667,0.053333333333333344
