family,arm,barrier_id,n_responses,n_selected,selection_rate,selection_percentage
gemma3,context,1,150,150,1,100
gemma3,context,2,150,0,0,0
gemma3,context,3,150,37,0.24666666666666667,24.666666666666668
gemma3,context,4,150,110,0.7333333333333333,73.33333333333333
gemma3,context,5,150,72,0.48,48
gemma3,context,6,150,40,0.26666666666666666,26.666666666666668
gemma3,context,7,150,38,0.25333333333333335,25.333333333333336
gemma3,context,8,150,147,0.98,98
gemma3,context,9,150,1,0.006666666666666667,0.6666666666666667
gemma3,context,10,150,102,0.68,68
gemma3,context,11,150,53,0.35333333333333333,35.333333333333336
gemma3,word,1,30,30,1,100
gemma3,word,2,30,0,0,0
gemma3,word,3,30,14,0.4666666666666667,46.666666666666664
gemma3,word,4,30,22,0.7333333333333333,73.33333333333333
gemma3,word,5,30,8,0.26666666666666666,26.666666666666668
gemma3,word,6,30,7,0.23333333333333334,23.333333333333332
gemma3,word,7,30,0,0,0
gemma3,word,8,30,29,0.9666666666666667,96.66666666666667
gemma3,word,9,30,4,0.13333333333333333,13.333333333333334
gemma3,word,10,30,25,0.8333333333333334,83.33333333333334
gemma3,word,11,30,11,0.36666666666666664,36.666666666666664
gemma3,example,1,30,30,1,100
gemma3,example,2,30,0,0,0
gemma3,example,3,30,24,0.8,80
gemma3,example,4,30,25,0.8333333333333334,83.33333333333334
gemma3,example,5,30,4,0.13333333333333333,13.333333333333334
gemma3,example,6,30,5,0.16666666666666666,16.666666666666664
gemma3,example,7,30,0,0,0
gemma3,example,8,30,30,1,100
gemma3,example,9,30,0,0,0
gemma3,example,10,30,22,0.7333333333333333,73.33333333333333
gemma3,example,11,30,10,0.3333333333333333,33.33333333333333
gemma3,low-numeric,1,30,30,1,100
gemma3,low-numeric,2,30,0,0,0
gemma3,low-numeric,3,30,22,0.7333333333333333,73.33333333333333
gemma3,low-numeric,4,30,29,0.9666666666666667,96.66666666666667
gemma3,low-numeric,5,30,4,0.13333333333333333,13.333333333333334
gemma3,low-numeric,6,30,1,0.03333333333333333,3.3333333333333335
gemma3,low-numeric,7,30,0,0,0
gemma3,low-numeric,8,30,30,1,100
gemma3,low-numeric,9,30,3,0.1,10
gemma3,low-numeric,10,30,20,0.6666666666666666,66.66666666666666
gemma3,low-numeric,11,30,11,0.36666666666666664,36.666666666666664
gemma3,high-numeric,1,30,30,1,100
gemma3,high-numeric,2,30,0,0,0
gemma3,high-numeric,3,30,27,0.9,90
gemma3,high-numeric,4,30,27,0.9,90
gemma3,high-numeric,5,30,2,0.06666666666666667,6.666666666666667
gemma3,high-numeric,6,30,3,0.1,10
gemma3,high-numeric,7,30,0,0,0
gemma3,high-numeric,8,30,30,1,100
gemma3,high-numeric,9,30,1,0.03333333333333333,3.3333333333333335
gemma3,high-numeric,10,30,21,0.7,70
gemma3,high-numeric,11,30,9,0.3,30
llama,context,1,150,137,0.9133333333333333,91.33333333333333
llama,context,2,150,109,0.7266666666666667,72.66666666666667
llama,context,3,150,123,0.82,82
llama,context,4,150,136,0.9066666666666666,90.66666666666666
llama,context,5,150,111,0.74,74
llama,context,6,150,36,0.24,24
llama,context,7,150,40,0.26666666666666666,26.666666666666668
llama,context,8,150,21,0.14,14.000000000000002
llama,context,9,150,14,0.09333333333333334,9.333333333333334
llama,context,10,150,7,0.04666666666666667,4.666666666666667
llama,context,11,150,16,0.10666666666666667,10.666666666666668
llama,word,1,30,25,0.8333333333333334,83.33333333333334
llama,word,2,30,19,0.6333333333333333,63.33333333333333
llama,word,3,30,23,0.7666666666666667,76.66666666666667
llama,word,4,30,25,0.8333333333333334,83.33333333333334
llama,word,5,30,21,0.7,70
llama,word,6,30,10,0.3333333333333333,33.33333333333333
llama,word,7,30,11,0.36666666666666664,36.666666666666664
llama,word,8,30,8,0.26666666666666666,26.666666666666668
llama,word,9,30,4,0.13333333333333333,13.333333333333334
llama,word,10,30,1,0.03333333333333333,3.3333333333333335
llama,word,11,30,3,0.1,10
llama,example,1,30,30,1,100
llama,example,2,30,22,0.7333333333333333,73.33333333333333
llama,example,3,30,26,0.8666666666666667,86.66666666666667
llama,example,4,30,30,1,100
llama,example,5,30,24,0.8,80
llama,example,6,30,10,0.3333333333333333,33.33333333333333
llama,example,7,30,5,0.16666666666666666,16.666666666666664
llama,example,8,30,2,0.06666666666666667,6.666666666666667
llama,example,9,30,0,0,0
llama,example,10,30,0,0,0
llama,example,11,30,1,0.03333333333333333,3.3333333333333335
llama,low-numeric,1,30,29,0.9666666666666667,96.66666666666667
llama,low-numeric,2,30,27,0.9,90
llama,low-numeric,3,30,20,0.6666666666666666,66.66666666666666
