B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
0.3181818181818182,0.13636363636363635,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.5,0.18181818181818182,0.5909090909090909,0.7272727272727273,0.6363636363636364,0.5454545454545454
0.3181818181818182,0.18181818181818182,0.3181818181818182,0.4090909090909091,0.3181818181818182,0.5,0.18181818181818182,0.5454545454545454,0.7727272727272727,0.6363636363636364,0.5909090909090909
0.2727272727272727,0.18181818181818182,0.36363636363636365,0.4090909090909091,0.36363636363636365,0.5,0.18181818181818182,0.5454545454545454,0.7272727272727273,0.6363636363636364,0.5454545454545454
0.3181818181818182,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.3181818181818182,0.5,0.18181818181818182,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.5454545454545454
0.3181818181818182,0.18181818181818182,0.36363636363636365,0.4090909090909091,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.5454545454545454,0.7727272727272727,0.6363636363636364,0.5454545454545454
0.3181818181818182,0.18181818181818182,0.3181818181818182,0.4090909090909091,0.36363636363636365,0.5,0.18181818181818182,0.5909090909090909,0.7272727272727273,0.5909090909090909,0.5454545454545454
0.3181818181818182,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.5454545454545454
0.2727272727272727,0.18181818181818182,0.36363636363636365,0.4090909090909091,0.3181818181818182,0.5,0.18181818181818182,0.5909090909090909,0.7727272727272727,0.5909090909090909,0.5454545454545454
0.2727272727272727,0.18181818181818182,0.36363636363636365,0.4090909090909091,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.5909090909090909,0.7272727272727273,0.5909090909090909,0.5909090909090909
0.3181818181818182,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.3181818181818182,0.5,0.13636363636363635,0.5909090909090909,0.7272727272727273,0.5909090909090909,0.5454545454545454
0.3181818181818182,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.13636363636363635,0.5454545454545454,0.7272727272727273,0.6363636363636364,0.5454545454545454
0.3181818181818182,0.18181818181818182,0.36363636363636365,0.4090909090909091,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.5454545454545454,0.7272727272727273,0.6363636363636364,0.5909090909090909
0.3181818181818182,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.5454545454545454
0.3181818181818182,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.3181818181818182,0.5,0.13636363636363635,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.5909090909090909
0.3181818181818182,0.18181818181818182,0.3181818181818182,0.4090909090909091,0.36363636363636365,0.5,0.18181818181818182,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.5909090909090909
0.3181818181818182,0.18181818181818182,0.36363636363636365,0.4090909090909091,0.3181818181818182,0.5,0.18181818181818182,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.5909090909090909
0.3181818181818182,0.13636363636363635,0.3181818181818182,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.5909090909090909,0.7272727272727273,0.6363636363636364,0.5454545454545454
0.3181818181818182,0.18181818181818182,0.3181818181818182,0.45454545454545453,0.3181818181818182,0.45454545454545453,0.18181818181818182,0.5909090909090909,0.7272727272727273,0.5909090909090909,0.5909090909090909
0.2727272727272727,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.5909090909090909
0.2727272727272727,0.13636363636363635,0.3181818181818182,0.4090909090909091,0.36363636363636365,0.5,0.18181818181818182,0.5909090909090909,0.7727272727272727,0.5909090909090909,0.5909090909090909
0.3181818181818182,0.13636363636363635,0.36363636363636365,0.45454545454545453,0.3181818181818182,0.45454545454545453,0.18181818181818182,0.5454545454545454,0.7727272727272727,0.6363636363636364,0.5454545454545454
0.2727272727272727,0.18181818181818182,0.3181818181818182,0.45454545454545453,0.36363636363636365,0.5,0.13636363636363635,0.5909090909090909,0.7727272727272727,0.6363636363636364,0.5454545454545454
0.2727272727272727,0.18181818181818182,0.3181818181818182,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.5909090909090909,0.7272727272727273,0.5909090909090909,0.5909090909090909
