category,prob,condition,base_model
0,2.1184684130670008e-4,ZEROSHOT,gemma3
1,0.002289236631372398,ZEROSHOT,gemma3
2,0.34880663663891054,ZEROSHOT,gemma3
3,0.6486922798884104,ZEROSHOT,gemma3
0,8.232804166790916e-5,CONTEXT,gemma3
1,8.910070209687238e-4,CONTEXT,gemma3
2,0.17287756147461325,CONTEXT,gemma3
3,0.8261491034627502,CONTEXT,gemma3
