prior_name,category_checks,checks_within_predictive_95,proportion_within_predictive_95,median_absolute_difference,maximum_absolute_difference
primary,440,440,1,0,0.06666666666666668
regularizing,440,428,0.9727272727272728,0.006666666666666675,0.23333333333333334
weak,440,440,1,0,0.03333333333333344
