prior_name,effect_prior_sd,max_rhat,min_bulk_ess,min_tail_ess,divergences,max_treedepth_hits
regularizing,0.75,1.0026142168030405,3331.1786083496577,4685.994396603966,0,0
primary,1.5,1.003557165274755,3220.6448800447924,4673.129824770807,0,0
weak,2.5,1.002640706207648,2853.466354948245,4542.109985473182,0,0
