base_model,spearman_rho,spearman_perm_p,tv,tv_ci_lo,tv_ci_hi,hellinger,hell_ci_lo,hell_ci_hi,top5_overlap,top5_jaccard,top5_hypergeo_p,spearman_perm_p_bh,top5_hypergeo_p_bh,tv_equiv,hell_equiv
gemma3-12b,0.2919547944383146,0.3842,0.2780733944954128,0.2210940366972477,0.3855100917431192,0.3102578063199157,0.2595373134808904,0.3929562829562287,3,0.4285714285714285,0.3917748917748916,0.5122666666666666,1.0,Not equivalent,Not equivalent
phi4,0.0411909019853635,0.9054,0.3588073394495413,0.2847088685015291,0.455565749235474,0.3127655516351225,0.2644418958672813,0.3994852927686984,1,0.1111111111111111,0.987012987012987,0.9054,1.0,Not equivalent,Not equivalent
mistral,-0.4210625536281606,0.1942,0.599217125382263,0.5074533639143731,0.687287003058104,0.5083201645820642,0.4575656343622837,0.59270032851274,0,0.0,1.0,0.3884,1.0,Not equivalent,Not equivalent
llama-pro,-0.6361705973295034,0.0383,0.4711865443425076,0.3932811926605504,0.5709321100917432,0.4133832010119699,0.3635923192676502,0.4987535758448703,0,0.0,1.0,0.1532,1.0,Not equivalent,Not equivalent
