base_model,spearman_rho,spearman_perm_p,tv,tv_ci_lo,tv_ci_hi,hellinger,hell_ci_lo,hell_ci_hi,top5_overlap,top5_jaccard,top5_hypergeo_p,spearman_perm_p_bh,top5_hypergeo_p_bh
gemma3-12b,0.2919547944383146,0.3842,0.27807339449541285,0.22109403669724773,0.3855100917431192,0.31025780631991573,0.2595373134808904,0.39295628295622875,3,0.42857142857142855,0.39177489177489166,0.5122666666666666,1.0
phi4,0.041190901985363536,0.9054,0.35880733944954135,0.2847088685015291,0.455565749235474,0.31276555163512254,0.2644418958672813,0.39948529276869843,1,0.1111111111111111,0.987012987012987,0.9054,1.0
mistral,-0.42106255362816064,0.1942,0.599217125382263,0.5074533639143731,0.687287003058104,0.5083201645820642,0.45756563436228376,0.59270032851274,0,0.0,1.0,0.3884,1.0
llama-pro,-0.6361705973295034,0.0383,0.4711865443425076,0.39328119266055045,0.5709321100917432,0.41338320101196996,0.36359231926765023,0.4987535758448703,0,0.0,1.0,0.1532,1.0
