base_model,estimate_log_odds,std_error,OR,OR_l95,OR_u95,z,p_value
gemma3,7.371037476271441e-16,0.448668249898958,1.0000000000000007,0.41503610198424906,2.4094289514071052,1.6428703118465437e-15,0.9999999999999987
llama,3.790963207069557,0.38775335800269245,44.29904889002829,20.71724873229213,94.72327903764075,9.776738560296966,1.4170324284149554e-22
mistral,9.833100820499748e-17,0.44866824989895887,1,0.41503610198424806,2.409428951407108,2.1916194922895e-16,0.9999999999999998
phi4,-1.770037602601817,0.40011668895332764,0.1703265839822745,0.07774925476767987,0.3731372769778707,-4.423803484008852,9.697824025506552e-6
