category,prob,condition,base_model
0,2.1178860979993028e-4,ZEROSHOT,gemma3
1,0.0022888935317615304,ZEROSHOT,gemma3
2,0.3487755434208747,ZEROSHOT,gemma3
3,0.6487237744375638,ZEROSHOT,gemma3
0,8.23063280222732e-5,CONTEXT,gemma3
1,8.908831707595694e-4,CONTEXT,gemma3
2,0.17285946237712585,CONTEXT,gemma3
3,0.8261673481240923,CONTEXT,gemma3
