family,jaccard,kept,added,dropped
gemma3,0.667,"1, 4, 8, 11",7,9
llama,1,"1, 2, 3, 4, 5",,
mistral,1,"1, 2, 3, 4, 5",,
phi4,0.429,"1, 4, 10","6, 8","3, 5"
