base_model,OR,OR_l95,OR_u95
gemma3,1.0362713507113688,0.7263081778405377,1.4785160694430899
llama,0.7328430718833512,0.5792600018719801,0.9271466461896671
mistral,0.7435458795618062,0.5672128193884798,0.9746967207288911
phi4,1.0611922571329728,0.6682678282431442,1.6851462228243614
