base_model,OR,OR_l95,OR_u95
gemma3,0.601869270021927,0.4297743061115601,0.8428763959255766
llama,1.2017992039790166,0.9514818122887592,1.5179705045652203
mistral,0.118054357516255,0.08876895886869007,0.15700118043731442
phi4,0.36943721065650126,0.25291776908279756,0.5396372627855001
