unit,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
DC experts,0.06422018348623854,0.03669724770642202,0.07339449541284404,0.09174311926605505,0.07339449541284404,0.10091743119266056,0.03669724770642202,0.11926605504587157,0.1559633027522936,0.12844036697247707,0.11926605504587157
Gemma3:12B,0.2,0,0,0.08933333333333333,0.12266666666666666,0.13066666666666665,0.005333333333333333,0.16,0.08666666666666667,0.04,0.16533333333333333
LLaMa-Pro,0.18133333333333335,0.108,0.17733333333333334,0.19466666666666665,0.13866666666666666,0.076,0.06,0.024,0.016,0.0026666666666666666,0.021333333333333333
Mistral,0.2,0.14,0.048,0.196,0.18,0.013333333333333334,0.06266666666666666,0.02666666666666667,0.04133333333333333,0.03333333333333333,0.058666666666666666
Phi-4,0.2,0.04933333333333333,0.10933333333333334,0.19866666666666666,0.108,0.02666666666666667,0.004,0.08533333333333333,0.05333333333333334,0.16133333333333333,0.004
Pooled-LLM,0.19533333333333333,0.07433333333333333,0.08366666666666667,0.16966666666666666,0.13733333333333334,0.06166666666666667,0.033,0.074,0.04933333333333333,0.059333333333333335,0.06233333333333333
