arm,barrier_id,mean_pct,sd_rate,n_units,ci95_pct
context,1,19.46666666666667,0.01547318063024871,200,0.2144473426233947
context,2,9.516666666666666,0.07482699196792675,200,1.0370491993517217
context,3,6.7333333333333325,0.06666331649873738,200,0.9239064297917883
context,4,19.46666666666667,0.014733819163261051,200,0.20420031548511658
context,5,8.866666666666667,0.0837053671997548,200,1.1600972022656697
context,6,6.7,0.04865471044706652,200,0.6743198835982583
context,7,6.15,0.07291471043080582,200,1.010546329399975
context,8,6.966666666666667,0.06217624128602375,200,0.8617187401039522
context,9,2.933333333333333,0.03091025535477105,200,0.4283942829235015
context,10,6.483333333333334,0.08125189513745666,200,1.126093814304696
context,11,6.716666666666667,0.07747246048039688,200,1.0737135223535508
word,1,19.583333333333332,0.013476792334377338,40,0.41765012143135316
word,2,9.25,0.0814706351237327,40,2.5248011402327903
word,3,6.000000000000001,0.08101914936669333,40,2.510809451663766
word,4,18,0.03272957487082702,40,1.0143000337200814
word,5,7.583333333333334,0.07395521090074195,40,2.291895730587681
word,6,6.916666666666667,0.042958603276195974,40,1.3313009082330365
word,7,3.5833333333333335,0.03950368730310261,40,1.2242319529582104
word,8,9.666666666666666,0.0882885711452609,40,2.736091166572282
word,9,1.9166666666666665,0.023735844484456696,40,0.7355814414325967
word,10,11.25,0.06301426601014821,40,1.9528323356228334
word,11,6.25,0.056582390825829824,40,1.7535064585808915
example,1,18.833333333333336,0.02207214278631523,40,0.6840227916430708
example,2,9,0.06233810941983953,40,1.931878025795807
example,3,7.666666666666666,0.06414015991529888,40,1.9877241492338147
example,4,18.666666666666668,0.03184721360252753,40,0.9869553747160565
example,5,7.333333333333333,0.06843800613519277,40,2.1209157834963084
example,6,8.5,0.040614931362402296,40,1.2586697631426491
example,7,5.25,0.05541220822628187,40,1.7172421241107827
example,8,6.75,0.053101794412247216,40,1.6456416582100937
example,9,2.083333333333333,0.023494558987014462,40,0.7281039263974117
example,10,9.416666666666666,0.05168802977143181,40,1.6018286380743056
example,11,6.5,0.06874951437279922,40,2.130569523795573
low-numeric,1,19.666666666666668,0.010127393670836673,40,0.313851181457971
low-numeric,2,9.833333333333332,0.07238312123220605,40,2.243176167009474
low-numeric,3,7.083333333333333,0.07555586978315754,40,2.3415006632767277
low-numeric,4,18.666666666666668,0.027006383122231116,40,0.8369364838879222
low-numeric,5,8.333333333333332,0.06877023141843228,40,2.131211551691356
low-numeric,6,6.916666666666667,0.05029117496342951,40,1.55853965908663
low-numeric,7,4.083333333333333,0.04682969082772107,40,1.4512671543435252
low-numeric,8,7.5,0.07424837043882183,40,2.300980838797407
low-numeric,9,2.3333333333333335,0.02844497862746269,40,0.8815190204844041
low-numeric,10,8.166666666666666,0.07038761222271966,40,2.1813347021081113
low-numeric,11,7.416666666666667,0.07259437319753523,40,2.2497229332416198
high-numeric,1,19.5,0.01610152971798827,40,0.49899157567296937
high-numeric,2,9.75,0.07675301714607473,40,2.3786006444212164
high-numeric,3,7.666666666666666,0.07556058304037701,40,2.341646728631243
high-numeric,4,17.666666666666668,0.033926348919345144,40,1.0513884457314833
high-numeric,5,8.666666666666668,0.06396223957279866,40,1.9822103406949108
high-numeric,6,5.916666666666667,0.044967541316818425,40,1.39355854312096
high-numeric,7,4.666666666666667,0.052731648756954116,40,1.6341707255100244
high-numeric,8,7.833333333333334,0.07143223433831608,40,2.2137078768669016
high-numeric,9,1.1666666666666667,0.019318886438389072,40,0.5986984934337868
high-numeric,10,10.083333333333332,0.0677213580503399,40,2.0987066292527676
high-numeric,11,7.083333333333333,0.06323992211639536,40,1.9598254908067594
