contrast,base_model,estimate,SE,df,z.ratio,p.value
BIASED - NEU,gemma3-12b,-1.8759227373915815e-7,0.37776274055841064,Inf,-4.965875497987398e-7,0.9999996037804609
BIASED - NEU,llama-pro,1.1714179705046,0.21994092702501153,Inf,5.326057257053332,1.0036750451964347e-7
BIASED - NEU,mistral,0.07721604673781102,0.3777243538071716,Inf,0.2044243267862729,0.8380219215266178
BIASED - NEU,phi4,-2.544010521078519e-7,0.37773014167179175,Inf,-6.734994750005945e-7,0.9999994626251671
