base_model,patterns,pattern_stable
gemma3,regularizing: no supported adjustment; primary: no supported adjustment; weak: no supported adjustment,TRUE
llama,regularizing: no supported adjustment; primary: no supported adjustment; weak: no supported adjustment,TRUE
mistral,regularizing: no supported adjustment; primary: no supported adjustment; weak: no supported adjustment,TRUE
phi4,regularizing: no supported adjustment; primary: no supported adjustment; weak: no supported adjustment,TRUE
