base_model,anchor_type,comparison,directions,conclusions,direction_stable,conclusion_stable,difference_median_min,difference_median_max,minimum_probability_difference_gt_0,maximum_probability_difference_gt_0
gemma3,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,regularizing: above 0; primary: above 0; weak: above 0,regularizing: uncertain; primary: uncertain; weak: uncertain,TRUE,TRUE,3.895801707311554e-4,0.001462559266516326,0.628375,0.693125
gemma3,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,regularizing: above 0; primary: above 0; weak: above 0,regularizing: uncertain; primary: uncertain; weak: uncertain,TRUE,TRUE,4.3873597206134135e-4,0.0017573546251405604,0.63375,0.710625
llama,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,regularizing: below 0; primary: below 0; weak: below 0,regularizing: uncertain; primary: uncertain; weak: uncertain,TRUE,TRUE,-0.0853058687254694,-0.07597088800709909,0.047125,0.063625
llama,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,regularizing: above 0; primary: above 0; weak: above 0,regularizing: uncertain; primary: uncertain; weak: uncertain,TRUE,TRUE,0.08625871279573888,0.10685958938615647,0.898375,0.921
mistral,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,regularizing: above 0; primary: above 0; weak: above 0,regularizing: uncertain; primary: uncertain; weak: uncertain,TRUE,TRUE,6.215370275018113e-4,0.0020812716915964134,0.654125,0.7175
mistral,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,regularizing: above 0; primary: above 0; weak: above 0,regularizing: uncertain; primary: uncertain; weak: uncertain,TRUE,TRUE,0.001496777714279745,0.010911245822718338,0.7235,0.867375
phi4,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,regularizing: above 0; primary: above 0; weak: above 0,regularizing: uncertain; primary: uncertain; weak: uncertain,TRUE,TRUE,3.9151135405288444e-4,0.001631959625524774,0.63,0.70225
phi4,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,regularizing: above 0; primary: above 0; weak: above 0,regularizing: uncertain; primary: uncertain; weak: uncertain,TRUE,TRUE,3.9337050123851086e-4,0.0015575379884744801,0.635375,0.696375
