base_model,OR,OR_l95,OR_u95
gemma3,NA,NA,NA
gemma3-12b,NA,NA,NA
gemma3_generalist,NA,NA,NA
gemma3_generalist2,NA,NA,NA
gemma3_normative,NA,NA,NA
gemma3_normative2,NA,NA,NA
gemma3_subject_matter,NA,NA,NA
gemma3_subject_matter2,NA,NA,NA
llama,NA,NA,NA
llama-pro,NA,NA,NA
llama_generalist,NA,NA,NA
llama_generalist2,NA,NA,NA
llama_normative,NA,NA,NA
llama_normative2,NA,NA,NA
llama_subject_matter,NA,NA,NA
llama_subject_matter2,NA,NA,NA
mistral,NA,NA,NA
mistral_generalist,NA,NA,NA
mistral_generalist2,NA,NA,NA
mistral_normative,NA,NA,NA
mistral_normative2,NA,NA,NA
mistral_subject_matter,NA,NA,NA
mistral_subject_matter2,NA,NA,NA
phi4,NA,NA,NA
