base_model,comparison,threshold_structure,log_odds_median,log_odds_l95,log_odds_u95,OR_median,OR_l95,OR_u95,posterior_probability_OR_gt_1,posterior_probability_OR_lt_1
gemma3,CONTEXT vs ZEROSHOT,base-model-specific,0.03874554925046124,-2.008848373909436,2.0336462481148745,1.0395061359934736,0.1341430872473499,7.64190047860227,0.514375,0.485625
llama,CONTEXT vs ZEROSHOT,base-model-specific,1.192216916798467,0.7149206440114879,1.692595070306854,3.294376477392863,2.0440244704975346,5.433564136563269,1,0
mistral,CONTEXT vs ZEROSHOT,base-model-specific,0.025406005935930787,-2.0573133807783175,2.0414619340460947,1.025731525576906,0.12779685070768174,7.701861510296663,0.509375,0.490625
phi4,CONTEXT vs ZEROSHOT,base-model-specific,-2.9838027034389034,-4.84240500186828,-1.6649117598116472,0.050600051120972094,0.007888060531261185,0.18920735374930525,0,1
