base_model,total_count,n_selected_unique,selected_set,top5_selected,jaccard_top5_vs_first5,canon_first5
gemma3,1200,10,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 4, 8, 11, 7]",0.25,"[1, 2, 3, 4, 5]"
llama,1200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[3, 1, 4, 2, 10]",0.6666666666666666,"[1, 2, 3, 4, 5]"
mistral,1200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 4, 5, 2, 3]",1.0,"[1, 2, 3, 4, 5]"
phi4,1200,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 4, 10, 8, 6]",0.25,"[1, 2, 3, 4, 5]"
