base_model,1,2,3,4,5,6,7,8,9,10,11,total_count
gemma3,240.0,0.0,5.0,218.0,38.0,59.0,119.0,200.0,38.0,91.0,192.0,1200
llama,211.0,146.0,216.0,191.0,84.0,76.0,71.0,34.0,12.0,90.0,69.0,1200
mistral,240.0,212.0,85.0,227.0,215.0,70.0,16.0,9.0,21.0,59.0,46.0,1200
phi4,240.0,96.0,35.0,240.0,46.0,134.0,5.0,138.0,19.0,227.0,20.0,1200
