base_model,1,2,3,4,5,6,7,8,9,10,11,total_count
gemma3,0.2,0.0,0.004166666666666667,0.18166666666666667,0.03166666666666667,0.049166666666666664,0.09916666666666667,0.16666666666666666,0.03166666666666667,0.07583333333333334,0.16,1200
llama,0.17583333333333334,0.12166666666666667,0.18,0.15916666666666668,0.07,0.06333333333333334,0.059166666666666666,0.028333333333333332,0.01,0.075,0.0575,1200
mistral,0.2,0.17666666666666667,0.07083333333333333,0.18916666666666668,0.17916666666666667,0.058333333333333334,0.013333333333333334,0.0075,0.0175,0.049166666666666664,0.03833333333333333,1200
phi4,0.2,0.08,0.029166666666666667,0.2,0.03833333333333333,0.11166666666666666,0.004166666666666667,0.115,0.015833333333333335,0.18916666666666668,0.016666666666666666,1200
