base_model,OR,OR_l95,OR_u95
gemma3,1,0.8521153876047711,1.173549984598824
llama,1.1037344396597597,0.9271814695572479,1.3139064501286666
mistral,1,0.8521153876047716,1.1735499845988233
phi4,1,0.8521153876047716,1.1735499845988233
