base_model,dc_solution,comparison,n_observed,observed_median,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95
llama,DC-DC converter,ANCHOR_WORD,30,3,3,3,4,TRUE
llama,DC-DC converter,ANCHOR_NUM_HIGH,30,4,4,3,4,TRUE
llama,DC-DC converter,ANCHOR_NUM_LOW,30,4,4,3,4,TRUE
llama,LVAC-LVDC interlink converter,CONTEXT,150,3,3,3,3,TRUE
llama,LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,30,3,3,3,3,TRUE
llama,LVAC-LVDC interlink converter,ANCHOR_WORD,30,3,3,3,4,TRUE
llama,LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,30,3,3,3,4,TRUE
llama,LVAC-LVDC interlink converter,ANCHOR_NUM_LOW,30,3,3,3,3,TRUE
llama,Network design tool for DC solutions,CONTEXT,150,3,3,3,3,TRUE
llama,Network design tool for DC solutions,ANCHOR_EXAMPLE,30,3,3,3,3,TRUE
llama,Network design tool for DC solutions,ANCHOR_WORD,30,3,3,3,4,TRUE
llama,Network design tool for DC solutions,ANCHOR_NUM_HIGH,30,3,3,3,4,TRUE
llama,Network design tool for DC solutions,ANCHOR_NUM_LOW,30,3,3,3,4,TRUE
llama,Protection DC system design tool,CONTEXT,150,3,3,3,4,TRUE
llama,Protection DC system design tool,ANCHOR_EXAMPLE,30,3,3,3,4,TRUE
llama,Protection DC system design tool,ANCHOR_WORD,30,3,3,3,4,TRUE
llama,Protection DC system design tool,ANCHOR_NUM_HIGH,30,4,4,3,4,TRUE
llama,Protection DC system design tool,ANCHOR_NUM_LOW,30,3.5,3.5,3,4,TRUE
llama,Semiconductor-based circuit breaker,CONTEXT,150,4,4,4,4,TRUE
llama,Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,30,4,4,3,4,TRUE
llama,Semiconductor-based circuit breaker,ANCHOR_WORD,30,4,4,3,4,TRUE
llama,Semiconductor-based circuit breaker,ANCHOR_NUM_HIGH,30,4,4,3,4,TRUE
llama,Semiconductor-based circuit breaker,ANCHOR_NUM_LOW,30,4,4,3,4,TRUE
llama,Smart and sustainable DC cables,CONTEXT,150,4,4,3,4,TRUE
llama,Smart and sustainable DC cables,ANCHOR_EXAMPLE,30,3.5,3.5,3,4,TRUE
llama,Smart and sustainable DC cables,ANCHOR_WORD,30,3,3,3,4,TRUE
llama,Smart and sustainable DC cables,ANCHOR_NUM_HIGH,30,4,4,3,4,TRUE
llama,Smart and sustainable DC cables,ANCHOR_NUM_LOW,30,3,3,3,4,TRUE
llama,Solid-state circuit breaker,CONTEXT,150,4,4,4,4,TRUE
llama,Solid-state circuit breaker,ANCHOR_EXAMPLE,30,4,4,3,4,TRUE
llama,Solid-state circuit breaker,ANCHOR_WORD,30,4,4,3,4,TRUE
llama,Solid-state circuit breaker,ANCHOR_NUM_HIGH,30,4,4,4,4,TRUE
llama,Solid-state circuit breaker,ANCHOR_NUM_LOW,30,4,4,3,4,TRUE
llama,Static protection system,CONTEXT,150,4,4,3,4,TRUE
llama,Static protection system,ANCHOR_EXAMPLE,30,4,4,3,4,TRUE
llama,Static protection system,ANCHOR_WORD,30,3.5,3.5,3,4,TRUE
llama,Static protection system,ANCHOR_NUM_HIGH,30,4,4,3,4,TRUE
llama,Static protection system,ANCHOR_NUM_LOW,30,4,4,3,4,TRUE
mistral,DC connectors,CONTEXT,150,4,4,4,4,TRUE
mistral,DC connectors,ANCHOR_EXAMPLE,30,4,4,3.5,4,TRUE
mistral,DC connectors,ANCHOR_WORD,30,4,4,4,4,TRUE
mistral,DC connectors,ANCHOR_NUM_HIGH,30,3,3,3,4,TRUE
mistral,DC connectors,ANCHOR_NUM_LOW,30,3,3,3,4,TRUE
mistral,DC measurement device,CONTEXT,150,3,3,3,4,TRUE
mistral,DC measurement device,ANCHOR_EXAMPLE,30,3,3,3,3,TRUE
mistral,DC measurement device,ANCHOR_WORD,30,3,3,3,3,TRUE
mistral,DC measurement device,ANCHOR_NUM_HIGH,30,3,3,3,3,TRUE
mistral,DC measurement device,ANCHOR_NUM_LOW,30,3,3,3,3,TRUE
mistral,DC solution design tool,CONTEXT,150,4,4,4,4,TRUE
mistral,DC solution design tool,ANCHOR_EXAMPLE,30,4,4,4,4,TRUE
mistral,DC solution design tool,ANCHOR_WORD,30,4,4,4,4,TRUE
mistral,DC solution design tool,ANCHOR_NUM_HIGH,30,4,4,4,4,TRUE
mistral,DC solution design tool,ANCHOR_NUM_LOW,30,4,4,4,4,TRUE
mistral,DC-DC converter,CONTEXT,150,4,4,4,4,TRUE
mistral,DC-DC converter,ANCHOR_EXAMPLE,30,4,4,3.5,4,TRUE
mistral,DC-DC converter,ANCHOR_WORD,30,3,3,3,4,TRUE
mistral,DC-DC converter,ANCHOR_NUM_HIGH,30,3,3,3,3,TRUE
mistral,DC-DC converter,ANCHOR_NUM_LOW,30,3,3,3,4,TRUE
mistral,LVAC-LVDC interlink converter,CONTEXT,150,4,4,4,4,TRUE
mistral,LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,30,3,3,3,4,TRUE
mistral,LVAC-LVDC interlink converter,ANCHOR_WORD,30,3,3,3,3,TRUE
mistral,LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,30,3,3,3,3,TRUE
mistral,LVAC-LVDC interlink converter,ANCHOR_NUM_LOW,30,3,3,3,3,TRUE
mistral,Network design tool for DC solutions,CONTEXT,150,4,4,4,4,TRUE
mistral,Network design tool for DC solutions,ANCHOR_EXAMPLE,30,4,4,4,4,TRUE
mistral,Network design tool for DC solutions,ANCHOR_WORD,30,4,4,4,4,TRUE
mistral,Network design tool for DC solutions,ANCHOR_NUM_HIGH,30,4,4,4,4,TRUE
mistral,Network design tool for DC solutions,ANCHOR_NUM_LOW,30,4,4,4,4,TRUE
mistral,Protection DC system design tool,CONTEXT,150,4,4,4,4,TRUE
mistral,Protection DC system design tool,ANCHOR_EXAMPLE,30,4,4,4,4,TRUE
mistral,Protection DC system design tool,ANCHOR_WORD,30,4,4,3,4,TRUE
mistral,Protection DC system design tool,ANCHOR_NUM_HIGH,30,3.5,4,3,4,TRUE
mistral,Protection DC system design tool,ANCHOR_NUM_LOW,30,3.5,4,3,4,TRUE
mistral,Semiconductor-based circuit breaker,CONTEXT,150,4,4,4,4,TRUE
mistral,Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,30,4,4,4,4,TRUE
mistral,Semiconductor-based circuit breaker,ANCHOR_WORD,30,4,4,4,4,TRUE
mistral,Semiconductor-based circuit breaker,ANCHOR_NUM_HIGH,30,4,4,4,4,TRUE
mistral,Semiconductor-based circuit breaker,ANCHOR_NUM_LOW,30,4,4,4,4,TRUE
mistral,Smart and sustainable DC cables,CONTEXT,150,3,3,3,3,TRUE
mistral,Smart and sustainable DC cables,ANCHOR_EXAMPLE,30,3,3,3,3,TRUE
mistral,Smart and sustainable DC cables,ANCHOR_WORD,30,3,3,3,3,TRUE
mistral,Smart and sustainable DC cables,ANCHOR_NUM_HIGH,30,3,3,3,3,TRUE
mistral,Smart and sustainable DC cables,ANCHOR_NUM_LOW,30,3,3,3,3,TRUE
mistral,Solid-state circuit breaker,CONTEXT,150,4,4,4,4,TRUE
mistral,Solid-state circuit breaker,ANCHOR_EXAMPLE,30,4,4,4,4,TRUE
mistral,Solid-state circuit breaker,ANCHOR_WORD,30,4,4,4,4,TRUE
mistral,Solid-state circuit breaker,ANCHOR_NUM_HIGH,30,4,4,4,4,TRUE
mistral,Solid-state circuit breaker,ANCHOR_NUM_LOW,30,4,4,4,4,TRUE
mistral,Static protection system,CONTEXT,150,4,4,4,4,TRUE
mistral,Static protection system,ANCHOR_EXAMPLE,30,4,4,4,4,TRUE
mistral,Static protection system,ANCHOR_WORD,30,4,4,4,4,TRUE
mistral,Static protection system,ANCHOR_NUM_HIGH,30,4,4,4,4,TRUE
mistral,Static protection system,ANCHOR_NUM_LOW,30,4,4,4,4,TRUE
phi4,DC connectors,CONTEXT,150,4,4,4,4,TRUE
phi4,DC connectors,ANCHOR_EXAMPLE,30,4,4,3.5,4,TRUE
phi4,DC connectors,ANCHOR_WORD,30,4,4,4,4,TRUE
phi4,DC connectors,ANCHOR_NUM_HIGH,30,4,4,4,4,TRUE
phi4,DC connectors,ANCHOR_NUM_LOW,30,4,4,4,4,TRUE
phi4,DC measurement device,CONTEXT,150,4,4,3,4,TRUE
phi4,DC measurement device,ANCHOR_EXAMPLE,30,3,3,3,4,TRUE
phi4,DC measurement device,ANCHOR_WORD,30,4,4,4,4,TRUE
phi4,DC measurement device,ANCHOR_NUM_HIGH,30,4,4,3,4,TRUE
phi4,DC measurement device,ANCHOR_NUM_LOW,30,3,3,3,4,TRUE
phi4,DC solution design tool,CONTEXT,150,4,4,4,4,TRUE
phi4,DC solution design tool,ANCHOR_EXAMPLE,30,4,4,4,4,TRUE
phi4,DC solution design tool,ANCHOR_WORD,30,4,4,4,4,TRUE
phi4,DC solution design tool,ANCHOR_NUM_HIGH,30,4,4,4,4,TRUE
phi4,DC solution design tool,ANCHOR_NUM_LOW,30,4,4,4,4,TRUE
phi4,DC-DC converter,CONTEXT,150,4,4,4,4,TRUE
