base_model,spearman_rho,spearman_perm_p,tv,tv_ci_lo,tv_ci_hi,hellinger,hell_ci_lo,hell_ci_hi,top5_overlap,top5_jaccard,top5_hypergeo_p,spearman_perm_p_bh,top5_hypergeo_p_bh,tv_equiv,hell_equiv
gemma3-12b,0.2919547944383146,0.3725,0.2780733944954128,0.222966360856269,0.3837585626911314,0.3102578063199157,0.2587641117337811,0.3965416087709331,3,0.4285714285714285,0.3917748917748916,0.4966666666666666,1.0,Not equivalent,Not equivalent
phi4,0.0411909019853635,0.91,0.3588073394495413,0.2802360856269113,0.4563914373088685,0.3127655516351225,0.2648927779185984,0.3986277452987314,1,0.1111111111111111,0.987012987012987,0.91,1.0,Not equivalent,Not equivalent
mistral,-0.4210625536281606,0.1923,0.599217125382263,0.5093149847094801,0.6884525993883792,0.5083201645820642,0.4565997318742499,0.5906334924155526,0,0.0,1.0,0.3846,1.0,Not equivalent,Not equivalent
llama-pro,-0.6361705973295034,0.0392,0.4715486017907374,0.3927579930503209,0.5739797638089635,0.4133515199243861,0.36177426540852,0.4989637342504133,0,0.0,1.0,0.1568,1.0,Not equivalent,Not equivalent
