unit,type,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
human,human,0.06422018348623854,0.03669724770642202,0.07339449541284404,0.09174311926605505,0.07339449541284404,0.10091743119266056,0.03669724770642202,0.11926605504587157,0.1559633027522936,0.12844036697247707,0.11926605504587157
LLM_overall,llm_overall,0.19459729864932465,0.08587627146906787,0.1135567783891946,0.18325829581457395,0.12306153076538269,0.05002501250625312,0.028681007170251793,0.05019176254794064,0.050858762714690676,0.06169751542437885,0.05819576454894114
gemma3-12b,base_model,0.2,0.0,0.0,0.14533333333333334,0.06666666666666667,0.06666666666666667,0.05533333333333333,0.11,0.124,0.042666666666666665,0.18933333333333333
llama-pro,base_model,0.17835671342685372,0.12424849699398798,0.16098864395457582,0.19305277221108885,0.1462925851703407,0.09218436873747494,0.0447561790247161,0.012024048096192385,0.012692050768203072,0.008684034736138945,0.026720106880427523
mistral,base_model,0.2,0.19333333333333333,0.172,0.196,0.17733333333333334,0.004,0.005333333333333333,0.0006666666666666666,0.014,0.027333333333333334,0.01
phi4,base_model,0.2,0.026,0.12133333333333333,0.19866666666666666,0.102,0.037333333333333336,0.009333333333333334,0.078,0.05266666666666667,0.168,0.006666666666666667
