base_model,spearman_rho,spearman_perm_p,tv,tv_ci_lo,tv_ci_hi,hellinger,hell_ci_lo,hell_ci_hi,top5_overlap,top5_jaccard,top5_hypergeo_p,spearman_perm_p_bh,top5_hypergeo_p_bh
gemma3-12b,0.2919547944383146,0.3725,0.27807339449541285,0.22296636085626909,0.38375856269113146,0.31025780631991573,0.2587641117337811,0.39654160877093314,3,0.42857142857142855,0.39177489177489166,0.49666666666666665,1.0
phi4,0.041190901985363536,0.91,0.35880733944954135,0.2802360856269113,0.4563914373088685,0.31276555163512254,0.26489277791859844,0.3986277452987314,1,0.1111111111111111,0.987012987012987,0.91,1.0
mistral,-0.42106255362816064,0.1923,0.599217125382263,0.5093149847094801,0.6884525993883792,0.5083201645820642,0.45659973187424996,0.5906334924155526,0,0.0,1.0,0.3846,1.0
llama-pro,-0.6361705973295034,0.0392,0.47154860179073743,0.3927579930503209,0.5739797638089635,0.4133515199243861,0.36177426540852003,0.49896373425041335,0,0.0,1.0,0.1568,1.0
