condition,barrier_id,mean_pct,sd_rate,n_units,ci95_pct
zeroshot,1,19.45,0.015232242684421035,200,0.21110811305873256
zeroshot,2,8.583333333333332,0.08249579113843052,200,1.1433333333333329
zeroshot,3,11.366666666666665,0.07353178568769407,200,1.019098556133478
zeroshot,4,18.333333333333332,0.028551480633109343,200,0.39570333314432476
zeroshot,5,12.3,0.05329877439788974,200,0.7386833261913237
zeroshot,6,5.016666666666667,0.04357009152490452,200,0.6038506606138987
zeroshot,7,2.866666666666667,0.031532599918519935,200,0.4370195385242253
zeroshot,8,5.016666666666665,0.05398652560553434,200,0.7482150716281405
zeroshot,9,5.083333333333333,0.054597404748288746,200,0.7566814246009509
zeroshot,10,6.166666666666666,0.06870826990975816,200,0.9522480381049979
zeroshot,11,5.816666666666662,0.07900819455835069,200,1.0949977107737108
context,1,19.46666666666667,0.015473180630248667,200,0.2144473426233941
context,2,9.51666666666667,0.07482699196792687,200,1.0370491993517232
context,3,6.7333333333333325,0.0666633164987375,200,0.9239064297917898
context,4,19.46666666666667,0.014733819163261011,200,0.20420031548511602
context,5,8.866666666666667,0.08370536719975481,200,1.1600972022656701
context,6,6.699999999999999,0.04865471044706651,200,0.6743198835982582
context,7,6.150000000000006,0.07291471043080586,200,1.0105463293999757
context,8,6.966666666666665,0.06217624128602384,200,0.8617187401039533
context,9,2.933333333333336,0.03091025535477099,200,0.4283942829235006
context,10,6.48333333333333,0.08125189513745662,200,1.1260938143046952
context,11,6.7166666666666615,0.07747246048039691,200,1.0737135223535512
