base_family,condition,barrier_id,mean_pct,sd_rate,n_iter,ci95_pct
phi4,zeroshot,1,20,0,50,0
phi4,zeroshot,2,2.6,0.023608676678553406,50,0.6543991306704358
phi4,zeroshot,3,12.133333333333333,0.03548178287656601,50,0.9835048437998551
phi4,zeroshot,4,19.866666666666667,0.006598288790738583,50,0.1828952341278107
phi4,zeroshot,5,10.200000000000001,0.03589478199055762,50,0.9949525951856533
phi4,zeroshot,6,3.733333333333333,0.025767141444702255,50,0.7142287215358023
phi4,zeroshot,7,0.9333333333333335,0.017868250513613057,50,0.4952826353597395
phi4,zeroshot,8,7.8,0.044979209104881776,50,1.2467600678024084
phi4,zeroshot,9,5.266666666666667,0.03694084257756091,50,1.0239479153420519
phi4,zeroshot,10,16.8,0.030831264869026005,50,0.8545990612887169
phi4,zeroshot,11,0.6666666666666665,0.013468700594029473,50,0.3733333333333332
phi4,context,1,20,0,50,0
phi4,context,2,6.266666666666667,0.032043054935734706,50,0.8881881682516504
phi4,context,3,4.3999999999999995,0.03190120804656043,50,0.8842563730804167
phi4,context,4,19.933333333333334,0.004714045207910315,50,0.1306666666666666
phi4,context,5,2.4,0.024318372066292768,50,0.6740708831833306
phi4,context,6,11.733333333333333,0.03764013875308477,50,1.0433314163986651
phi4,context,7,0.19999999999999987,0.007996597916069843,50,0.22165438562470782
phi4,context,8,11.533333333333333,0.04107953681178991,50,1.138666666666667
phi4,context,9,1.3333333333333333,0.01781741612749496,50,0.4938735780653903
phi4,context,10,19.53333333333333,0.013485525960482194,50,0.3737997086973482
phi4,context,11,2.666666666666666,0.030116930096841705,50,0.8347987115999215
llama,zeroshot,1,17.8,0.023914056246647095,50,0.6628638204370825
llama,zeroshot,2,12.4,0.04950549111758866,50,1.3722222042285195
llama,zeroshot,3,16.133333333333333,0.02963114130686485,50,0.8213333333333334
llama,zeroshot,4,19.333333333333332,0.020203050891044218,50,0.56
llama,zeroshot,5,14.6,0.03862136684950784,50,1.0705296716008286
llama,zeroshot,6,9.266666666666666,0.04327311357270983,50,1.199469512372495
llama,zeroshot,7,4.466666666666667,0.031305676026464,50,0.8677490676713197
llama,zeroshot,8,1.2,0.01875972914627829,50,0.5199931623482069
llama,zeroshot,9,1.2666666666666668,0.02598621647550905,50,0.72030117157879
llama,zeroshot,10,0.8666666666666665,0.017573944844996126,50,0.48712489842612916
llama,zeroshot,11,2.666666666666667,0.031586902765289526,50,0.8755442751670403
llama,context,1,17.866666666666667,0.024980718187817153,50,0.6924301809970127
llama,context,2,13.333333333333334,0.03688555567816587,50,1.02241544067631
llama,context,3,16.266666666666666,0.03204305493573471,50,0.8881881682516506
llama,context,4,18.133333333333333,0.023483481916072284,50,0.6509289089020737
llama,context,5,13.4,0.03779044738862189,50,1.0474977592126653
llama,context,6,7.333333333333333,0.04096345365258394,50,1.1354490056556679
llama,context,7,6.133333333333334,0.0364899886869867,50,1.0114508830827569
llama,context,8,2.3333333333333335,0.025421614885788833,50,0.7046512139586032
llama,context,9,2.6,0.026332945833711412,50,0.729912019051307
llama,context,10,1.2000000000000002,0.021038782889880515,50,0.583165309134364
llama,context,11,1.4000000000000001,0.021391502328777342,50,0.5929421931726943
mistral,zeroshot,1,20,0,50,0
mistral,zeroshot,2,19.333333333333332,0.01346870059402949,50,0.37333333333333374
mistral,zeroshot,3,17.200000000000003,0.028058894976488075,50,0.7777528884906542
mistral,zeroshot,4,19.6,0.010942024088643879,50,0.3032974337730762
mistral,zeroshot,5,17.733333333333334,0.028918526572740914,50,0.8015806606671321
mistral,zeroshot,6,0.3999999999999999,0.010942024088643868,50,0.30329743377307594
mistral,zeroshot,7,0.5333333333333334,0.01406173624784132,50,0.3897714429993268
mistral,zeroshot,8,0.06666666666666668,0.004714045207910314,50,0.13066666666666657
mistral,zeroshot,9,1.4,0.02139150232877732,50,0.5929421931726936
mistral,zeroshot,10,2.7333333333333334,0.027512108239341502,50,0.7625967333904451
mistral,zeroshot,11,1,0.015430334996209185,50,0.42770706486254484
mistral,context,1,20,0,50,0
mistral,context,2,18.46666666666667,0.01929599960890935,50,0.5348578211907247
mistral,context,3,6.266666666666667,0.039059231722685495,50,1.0826666666666669
mistral,context,4,19.8,0.00799659791606985,50,0.22165438562470802
mistral,context,5,19.666666666666668,0.012140522651411398,50,0.3365181190433058
mistral,context,6,5.2,0.03377932923993942,50,0.9363152365641721
mistral,context,7,0.9333333333333332,0.01655061637807882,50,0.45875968049126137
mistral,context,8,0.6000000000000001,0.01293626448305346,50,0.3585749572962397
mistral,context,9,1.2,0.019931856701386995,50,0.5524828805794196
mistral,context,10,4.3999999999999995,0.04438544837230873,50,1.2303018599785445
mistral,context,11,3.4666666666666663,0.030831264869025994,50,0.8545990612887165
gemma3,zeroshot,1,20,0,50,0
gemma3,zeroshot,2,0,0,50,0
gemma3,zeroshot,3,0,0,50,0
gemma3,zeroshot,4,14.533333333333335,0.027569742525962147,50,0.7641942743104588
gemma3,zeroshot,5,6.666666666666667,0.026082026547865057,50,0.7229568912920512
gemma3,zeroshot,6,6.666666666666667,0.02428104530282279,50,0.6730362380866115
gemma3,zeroshot,7,5.533333333333333,0.024844185639515393,50,0.6886456918393441
gemma3,zeroshot,8,11,0.03176586681934841,50,0.8805049056586164
gemma3,zeroshot,9,12.4,0.035660276622569625,50,0.9884524380172383
gemma3,zeroshot,10,4.266666666666667,0.03436498771936898,50,0.9525488613889228
gemma3,zeroshot,11,18.933333333333334,0.017089865185644166,50,0.47370689484344913
gemma3,context,1,20,0,50,0
gemma3,context,2,0,0,50,0
gemma3,context,3,0,0,50,0
gemma3,context,4,20,0,50,0
gemma3,context,5,0,0,50,0
gemma3,context,6,2.533333333333333,0.027404751561786976,50,0.7596209581100303
gemma3,context,7,17.333333333333336,0.027766437594501436,50,0.76964638344863
gemma3,context,8,13.4,0.02282736155087026,50,0.632742180249323
gemma3,context,9,6.6000000000000005,0.022827361550870263,50,0.6327421802493232
gemma3,context,10,0.8,0.015879363810031487,50,0.4401535085752595
gemma3,context,11,19.333333333333332,0.013468700594029485,50,0.3733333333333336
