contrast,scenario,OR,CI_low,CI_high,z,p,p_fdr
BIAS_WORD - NEU,BIAS_WORD,2.098810254164174,1.3200657331751235,3.3369584349329555,3.133751547869117,0.0017258691933216997,0.0034517383866433994
BIAS_EXAMPLE - NEU,BIAS_EXAMPLE,1.688732392892774,1.0425691410102977,2.7353745498757154,2.129417648596563,0.03321972158019527,0.04429296210692702
BIAS_NUM_LOW - NEU,BIAS_NUM_LOW,1.5112843500748818,0.929327560166105,2.457669916055246,1.664565315910685,0.0959995099120219,0.0959995099120219
BIAS_NUM_HIGH - NEU,BIAS_NUM_HIGH,2.130191883858337,1.3388144117029082,3.389355105823943,3.191402963579496,0.0014158366110926777,0.0034517383866433994
