prior_name,effect_prior_sd,category_checks_passed,category_checks_total,median_absolute_difference,maximum_absolute_difference
regularizing,0.75,30,32,0.006666666666666626,0.046666666666666634
primary,1.5,31,32,0.006666666666666667,0.040000000000000036
weak,2.5,31,32,0.006666666666666667,0.040000000000000036
