prior_name,effect_prior_sd,max_rhat,min_bulk_ess,min_tail_ess,divergences,max_treedepth_hits
regularizing,0.75,1.001216458839647,3356.7928177710273,4664.297600700468,0,0
primary,1.5,1.0021368871758252,3464.2604016735545,4553.006597735326,0,0
weak,2.5,1.002001028466825,3439.9626214829145,3825.914864039811,0,0
