base_model,OR,OR_l95,OR_u95
gemma3,0.6018776915311621,0.4304709371558995,0.8415359186761676
llama,1.2017584424777643,0.9516377150523618,1.517618870314652
mistral,0.11805953704456786,0.08883069572378009,0.15690583275986272
phi4,0.36940293183691675,0.2529344438924721,0.5395015560147324
