condition,barrier_id,mean_pct,sd_rate,n_units,ci95_pct
context,1,19.46666666666667,0.01547318063024871,200,0.2144473426233947
context,2,9.516666666666666,0.07482699196792675,200,1.0370491993517217
context,3,6.7333333333333325,0.06666331649873738,200,0.9239064297917883
context,4,19.46666666666667,0.014733819163261051,200,0.20420031548511658
context,5,8.866666666666667,0.0837053671997548,200,1.1600972022656697
context,6,6.7,0.04865471044706652,200,0.6743198835982583
context,7,6.15,0.07291471043080582,200,1.010546329399975
context,8,6.966666666666667,0.06217624128602375,200,0.8617187401039522
context,9,2.933333333333333,0.03091025535477105,200,0.4283942829235015
context,10,6.483333333333334,0.08125189513745666,200,1.126093814304696
context,11,6.716666666666667,0.07747246048039688,200,1.0737135223535508
anchor,1,19.395833333333336,0.011631127187771607,40,0.36045236595097874
anchor,2,9.458333333333332,0.06723979073948295,40,2.0837827036726635
anchor,3,7.104166666666667,0.06910569086530798,40,2.141607547655881
anchor,4,18.25,0.019226495251556376,40,0.5958352608898355
anchor,5,7.979166666666666,0.0616686157003152,40,1.911130200473634
anchor,6,7.062499999999999,0.03066148112047793,40,0.9502091443946264
anchor,7,4.395833333333334,0.04025327135402606,40,1.247461803365017
anchor,8,7.9375,0.06682639785401014,40,2.0709715254239516
anchor,9,1.875,0.013176156917368247,40,0.4083333333333333
anchor,10,9.729166666666666,0.056437050503332205,40,1.7490023153223238
anchor,11,6.812499999999999,0.05714253122363302,40,1.770865389352894
