arm,barrier_id,diff_pct
word,1,0.11666666666666359
word,2,-0.2666666666666657
word,3,-0.7333333333333316
word,4,-1.4666666666666686
word,5,-1.2833333333333332
word,6,0.21666666666666679
word,7,-2.566666666666667
word,8,2.6999999999999993
word,9,-1.0166666666666666
word,10,4.766666666666666
word,11,-0.4666666666666668
example,1,-0.6333333333333329
example,2,-0.5166666666666657
example,3,0.9333333333333336
example,4,-0.8000000000000007
example,5,-1.533333333333334
example,6,1.7999999999999998
example,7,-0.9000000000000004
example,8,-0.21666666666666679
example,9,-0.8500000000000001
example,10,2.933333333333332
example,11,-0.21666666666666679
low-numeric,1,0.1999999999999993
low-numeric,2,0.31666666666666643
low-numeric,3,0.35000000000000053
low-numeric,4,-0.8000000000000007
low-numeric,5,-0.533333333333335
low-numeric,6,0.21666666666666679
low-numeric,7,-2.0666666666666673
low-numeric,8,0.5333333333333332
low-numeric,9,-0.5999999999999996
low-numeric,10,1.6833333333333318
low-numeric,11,0.7000000000000002
high-numeric,1,0.03333333333333144
high-numeric,2,0.23333333333333428
high-numeric,3,0.9333333333333336
high-numeric,4,-1.8000000000000007
high-numeric,5,-0.1999999999999993
high-numeric,6,-0.7833333333333332
high-numeric,7,-1.4833333333333334
high-numeric,8,0.8666666666666671
high-numeric,9,-1.7666666666666664
high-numeric,10,3.599999999999998
high-numeric,11,0.36666666666666625
